Event,Day,UTCI daily max [˚C]
Berlin 2009, 1, 28.5
Berlin 2009, 2, 30.3
Berlin 2009, 3, 28.7
Berlin 2009, 4, 21.3
Berlin 2009, 5, 31.0
Berlin 2009, 6, 32.1
Berlin 2009, 7, 26.2
Berlin 2009, 8, 25.1
Berlin 2009, 9, 28.0
Daegu 2011, 1, 31.3
Daegu 2011, 2, 34.4
Daegu 2011, 3, 36.8
Daegu 2011, 4, 35.8
Daegu 2011, 5, 36.8
Daegu 2011, 6, 36.7
Daegu 2011, 7, 31.0
Daegu 2011, 8, 28.4
Daegu 2011, 9, 28.7
Helsinki 2012, 1, 20.1
Helsinki 2012, 2, 17.3
Helsinki 2012, 3, 23.6
Helsinki 2012, 4, 15.3
Helsinki 2012, 5, 22.6
Moscow 2013, 1, 31.8
Moscow 2013, 2, 32.3
Moscow 2013, 3, 28.8
Moscow 2013, 4, 28.9
Moscow 2013, 5, 26.8
Moscow 2013, 6, 21.1
Moscow 2013, 7, 23.8
Moscow 2013, 8, 27.2
Moscow 2013, 9, 27.5
Zürich 2014, 1, 26.8
Zürich 2014, 2, 21.8
Zürich 2014, 3, 22.5
Zürich 2014, 4, 19.7
Zürich 2014, 5, 24.2
Zürich 2014, 6, 23.9
Amsterdam 2016, 1, 18.4
Amsterdam 2016, 2, 22.4
Amsterdam 2016, 3, 17.0
Amsterdam 2016, 4, 22.4
Amsterdam 2016, 5, 25.5
Berlin 2018, 1, 33.6
Berlin 2018, 2, 36.5
Berlin 2018, 3, 37.1
Berlin 2018, 4, 36.8
Berlin 2018, 5, 25.6
Berlin 2018, 6, 21.6
Berlin 2018, 7, 29.6
