Event, Day, UTCI daily max [˚C]
Berlin 2009, 1, 28.651073374709995
Berlin 2009, 2, 30.455733314294378
Berlin 2009, 3, 28.79729355563734
Berlin 2009, 4, 21.379906691895314
Berlin 2009, 5, 31.14351104068919
Berlin 2009, 6, 32.2189999095707
Berlin 2009, 7, 26.222184221950556
Berlin 2009, 8, 25.193359157573354
Berlin 2009, 9, 28.037122047401397
Daegu 2011, 1, 31.4067554299304
Daegu 2011, 2, 34.481402615458364
Daegu 2011, 3, 36.909803755692394
Daegu 2011, 4, 35.9485969165645
Daegu 2011, 5, 37.051048956181376
Daegu 2011, 6, 36.857682274708566
Daegu 2011, 7, 31.106835619921753
Daegu 2011, 8, 28.520411229653064
Daegu 2011, 9, 28.814653212172516
Helsinki 2012, 1, 20.08246354096167
Helsinki 2012, 2, 17.37264292078561
Helsinki 2012, 3, 23.678386443419356
Helsinki 2012, 4, 15.32613094185541
Helsinki 2012, 5, 22.64651503097633
Moscow 2013, 1, 31.958277550294554
Moscow 2013, 2, 32.50679486968727
Moscow 2013, 3, 28.89128377931081
Moscow 2013, 4, 29.039045355507994
Moscow 2013, 5, 26.92727554056853
Moscow 2013, 6, 21.119096668238456
Moscow 2013, 7, 23.852197538686767
Moscow 2013, 8, 27.293635283251035
Moscow 2013, 9, 27.617429773230185
Zürich 2014, 1, 26.874722435216086
Zürich 2014, 2, 21.805591530601646
Zürich 2014, 3, 22.575967167704448
Zürich 2014, 4, 19.745008788039513
Zürich 2014, 5, 24.267415840904107
Zürich 2014, 6, 24.046697522619525
Amsterdam 2016, 1, 18.427811596750757
Amsterdam 2016, 2, 22.428272174090637
Amsterdam 2016, 3, 17.060468137743158
Amsterdam 2016, 4, 22.460357550889853
Amsterdam 2016, 5, 25.659381880354545
Berlin 2018, 1, 33.762393915726705
Berlin 2018, 2, 36.64376988489465
Berlin 2018, 3, 37.333004426288596
Berlin 2018, 4, 37.050604312187886
Berlin 2018, 5, 25.746609501071646
Berlin 2018, 6, 21.66266134081883
Berlin 2018, 7, 29.707793114111553
